001 -  Scrambling Eggs
002 -  Trading Sandwiches
003 -  I Now Declare This Mall Open
004 -  Pie from a Stranger
005 -  Barf. Doesn't matter.
006 -  Nebbishy Vulnerability
007 -  Working Out with Logs
008 -  Sacred Meanings
009 -  The Hill People
010 -  The Parts You Don’t Need
011 -  To Serve Man
012 -  Intellectual Languages
013 -  Jinx! You Owe Me a Coke Pt. 1
014 -  Jinx! You Owe Me a Coke Pt. 2
015 -  One Foot in The 20th Century
016 -  No Raven Has Ever Brought Me a Button
017 -  Knob and Tube House
018 -  Seized by the Demon
019 -  Space Lizards
020 -  Wall to Wall and Treetop Tall
021 -  Closed Head Injuries
022 -  All You Could See Was My Boots
023 -  The Day the Internet Opened
024 -  Science Kids
025 -  A Pint Glass Full of Meatballs
026 -  A Glorious Revolution
027 -  The Vampire Cross
028 -  Casual Shinto Exposure
029 -  There's A Lot of Stuff Inside A Bear
030 -  Florida in Her Eyes
031 -  Socks and Gloves
032 -  Chocolate and Gasoline
033 -  Apocalypse Vehicle
034 -  China Pig
035 -  Mr. Yuck
036 -  Dinner at the Hawk House
037 -  Three Cups of Coffee and a Dead Bird
038 -  Sparkles
039 -  Looney Tunes
040 -  Fish Psychology
041 -  No Room for Ninjas
042 -  The Integrity of a Cardboard Tube
043 -  All About the Hohenzollerns
044 -  Agnostic Wolf Attack
045 -  Pipe Organ Preservationists
046 -  The Guy on the Edge of Town
047 -  Man of East and West
048 -  Elysium
049 -  Listening in the Stock Room
050 -  The Oxidizer
051 -  The Grease on the Windshield
052 -  The Algorithm
053 -  Pendleton
054 -  Sucker Punch
055 -  Coffee in Korea
056 -  Robot Rabbit
057 -  11,000 Swordsmiths
058 -  Wet Daddy
059 -  Tuxedo Jackets
060 -  The Cold Hand
061 -  Where Your Wit Belongs
062 -  Creeping Anti-Intellectualism
063 -  Gnomes
064 -  Barbarians at the Gate
065 -  Elves in Spaceships
066 -  Fixie
067 -  Selling Kazoos
068 -  The Venus Flytrap
069 -  A Modern Day Poseidon
070 -  Doctor Darling
071 -  The Seattle Orcas
072 -  My Little Devil
073 -  Future John
074 -  The Unmanned Hatchet
075 -  Absodoodly
076 -  On Your Knees, Admiral!
077 -  Hello, Sister
078 -  Cooked on the Vine
079 -  The John Roderick Simulator
